fold,label,time,space,predictor,n,rmse,r2,skill_vs_persistence,skill_vs_climatology,biome
0,2025-08..2025-10,future,seen,gbt,47338,0.10443900668805216,0.29576423539873054,0.09503222701415848,0.0027542000979515757,sunshine_coast_hinterland
0,2025-08..2025-10,future,seen,persistence,47398,0.1154063269495964,0.14756462542199067,0.0,-0.10196830171282878,sunshine_coast_hinterland
0,2025-08..2025-10,future,seen,climatology,47601,0.10472744703292847,0.33010368569218274,0.09253288098608259,0.0,sunshine_coast_hinterland
0,2025-08..2025-10,future,unseen,gbt,3575,0.10097396072999457,0.2630199489023698,0.057534497180419586,-0.0250865941352465,sunshine_coast_hinterland
0,2025-08..2025-10,future,unseen,persistence,3578,0.10713809728622437,0.17529232303127384,0.0,-0.08766484403777985,sunshine_coast_hinterland
0,2025-08..2025-10,future,unseen,climatology,3584,0.09850285947322845,0.3076034125723536,0.08059913356428638,0.0,sunshine_coast_hinterland
0,2025-08..2025-10,seen,seen,gbt,1507593,0.09430925723348181,0.4080538994255055,0.2722926659251127,-0.025216442377137716,sunshine_coast_hinterland
0,2025-08..2025-10,seen,seen,persistence,1638241,0.12959778308868408,-0.10017555587487426,0.0,-0.408830713078445,sunshine_coast_hinterland
0,2025-08..2025-10,seen,seen,climatology,1744703,0.09198960661888123,0.4719086201418419,0.29019151079202865,0.0,sunshine_coast_hinterland
0,2025-08..2025-10,seen,unseen,gbt,113899,0.09490290630924154,0.36016991139558685,0.2832621753421469,-0.008023451344191912,sunshine_coast_hinterland
0,2025-08..2025-10,seen,unseen,persistence,122979,0.13240951299667358,-0.2326573607583986,0.0,-0.40640470847954613,sunshine_coast_hinterland
0,2025-08..2025-10,seen,unseen,climatology,129892,0.09414751827716827,0.3851779412473132,0.28896711311419543,0.0,sunshine_coast_hinterland
1,2025-11..2026-01,future,seen,gbt,39047,0.11056639192551297,0.1677891514759151,0.32570570823081924,0.03146638196681406,sunshine_coast_hinterland
1,2025-11..2026-01,future,seen,persistence,40277,0.16397349536418915,-0.8093830702778817,0.0,-0.43636633122311363,sunshine_coast_hinterland
1,2025-11..2026-01,future,seen,climatology,41059,0.11415854841470718,0.13781163898028514,0.30379877454488446,0.0,sunshine_coast_hinterland
